"education_summary_put_code","education_summary_department_name","education_summary_role_title","education_summary_url","education_summary_external_ids","education_summary_display_index","education_summary_visibility","education_summary_path","education_summary_created_date_value","education_summary_last_modified_date_value","education_summary_source_source_client_id","education_summary_source_assertion_origin_orcid","education_summary_source_assertion_origin_client_id","education_summary_source_assertion_origin_name","education_summary_source_source_orcid_uri","education_summary_source_source_orcid_path","education_summary_source_source_orcid_host","education_summary_source_source_name_value","education_summary_start_date_day","education_summary_start_date_year_value","education_summary_start_date_month_value","education_summary_end_date_day","education_summary_end_date_year_value","education_summary_end_date_month_value","education_summary_organization_name","education_summary_organization_address_city","education_summary_organization_address_region","education_summary_organization_address_country","education_summary_organization_disambiguated_organization_disambiguated_organization_identifier","education_summary_organization_disambiguated_organization_disambiguation_source","education_summary_organization_disambiguated_organization","education_summary_start_date_day_value","education_summary_end_date_day_value","education_summary_start_date_month","education_summary_end_date_month","education_summary_start_date","education_summary_end_date","education_summary_url_value","ORCID"
9942397,NA,"B.Sc. Biology",NA,NA,"1","public","/0000-0002-5529-1998/education/9942397",2020-03-03,2020-03-03,NA,NA,NA,NA,"https://orcid.org/0000-0002-5529-1998","0000-0002-5529-1998","orcid.org","Dominik Welke",NA,"2009","10",NA,"2012","09","University of Bonn","Bonn",NA,"DE","grid.10388.32","GRID",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-5529-1998"
2201642,NA,"PhD in Philosophy",NA,NA,"1","public","/0000-0002-6742-5260/education/2201642",2016-08-31,2020-09-15,NA,NA,NA,NA,"https://orcid.org/0000-0002-6742-5260","0000-0002-6742-5260","orcid.org","Tania Moerenhout",NA,"2015","10",NA,"2019","12","Universiteit Gent","Gent",NA,"BE","26656","RINGGOLD",NA,NA,"16",NA,NA,NA,NA,NA,"0000-0002-6742-5260"
2201650,"Center for Bioethics and Health Law","Visiting Researcher",NA,NA,"0","public","/0000-0002-6742-5260/education/2201650",2016-08-31,2017-10-31,NA,NA,NA,NA,"https://orcid.org/0000-0002-6742-5260","0000-0002-6742-5260","orcid.org","Tania Moerenhout",NA,"2016","08",NA,"2017","08","University of Pittsburgh","Pittsburgh","PA","US","6614","RINGGOLD",NA,"01","01",NA,NA,NA,NA,NA,"0000-0002-6742-5260"
2201637,NA,"Master in Philosophy and Moral Sciences",NA,NA,"0","public","/0000-0002-6742-5260/education/2201637",2016-08-31,2019-12-11,NA,NA,NA,NA,"https://orcid.org/0000-0002-6742-5260","0000-0002-6742-5260","orcid.org","Tania Moerenhout",NA,"2012",NA,NA,"2015","07","Vrije Universiteit Brussel","Brussel",NA,"BE","70493","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-6742-5260"
2201636,NA,"Advanced Master in Family Medicine",NA,NA,"0","public","/0000-0002-6742-5260/education/2201636",2016-08-31,2019-12-11,NA,NA,NA,NA,"https://orcid.org/0000-0002-6742-5260","0000-0002-6742-5260","orcid.org","Tania Moerenhout",NA,"2007",NA,NA,"2009",NA,"Vrije Universiteit Brussel","Brussel",NA,"BE","70493","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-6742-5260"
2201634,NA,"Master in Medicine",NA,NA,"0","public","/0000-0002-6742-5260/education/2201634",2016-08-31,2019-12-11,NA,NA,NA,NA,"https://orcid.org/0000-0002-6742-5260","0000-0002-6742-5260","orcid.org","Tania Moerenhout",NA,"2000",NA,NA,"2007",NA,"Vrije Universiteit Brussel","Brussel",NA,"BE","70493","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-6742-5260"
1553098,"Division of the Humanities and Social Sciences","Ph.D. in Social Science",NA,NA,"0","public","/0000-0002-0610-8093/education/1553098",2016-02-09,2016-02-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-0610-8093","0000-0002-0610-8093","orcid.org","Taisuke Imai",NA,"2009","09",NA,"2015","12","California Institute of Technology","Pasadena","CA","US","6469","RINGGOLD",NA,"01","31",NA,NA,NA,NA,NA,"0000-0002-0610-8093"
1553096,"Graduate School of Economics","Master of Economics",NA,NA,"0","public","/0000-0002-0610-8093/education/1553096",2016-02-09,2016-02-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-0610-8093","0000-0002-0610-8093","orcid.org","Taisuke Imai",NA,"2007","04",NA,"2009","03","University of Tokyo","Tokyo",NA,"JP",NA,NA,NA,"01","31",NA,NA,NA,NA,NA,"0000-0002-0610-8093"
1553095,"Faculty of Economics","Bachelor of Economics",NA,NA,"0","public","/0000-0002-0610-8093/education/1553095",2016-02-09,2016-02-09,NA,NA,NA,NA,"https://orcid.org/0000-0002-0610-8093","0000-0002-0610-8093","orcid.org","Taisuke Imai",NA,"2003","04",NA,"2007","03","University of Tokyo","Tokyo",NA,"JP",NA,NA,NA,"01","31",NA,NA,NA,NA,NA,"0000-0002-0610-8093"
6498040,"Department of Economics","PhD",NA,NA,"1","public","/0000-0002-4248-0677/education/6498040",2018-09-27,2018-09-27,NA,NA,NA,NA,"https://orcid.org/0000-0002-4248-0677","0000-0002-4248-0677","orcid.org","Adam Altmejd",NA,"2013","09",NA,"2018","09","Stockholm School of Economics","Stockholm",NA,"SE",NA,NA,NA,"01","10",NA,NA,NA,NA,"https://www.hhs.se/en/research/departments/de/","0000-0002-4248-0677"
