"employment_summary_put_code","employment_summary_department_name","employment_summary_role_title","employment_summary_end_date","employment_summary_url","employment_summary_external_ids","employment_summary_display_index","employment_summary_visibility","employment_summary_path","employment_summary_created_date_value","employment_summary_last_modified_date_value","employment_summary_source_source_client_id","employment_summary_source_assertion_origin_orcid","employment_summary_source_assertion_origin_client_id","employment_summary_source_assertion_origin_name","employment_summary_source_source_orcid_uri","employment_summary_source_source_orcid_path","employment_summary_source_source_orcid_host","employment_summary_source_source_name_value","employment_summary_start_date_year_value","employment_summary_start_date_month_value","employment_summary_start_date_day_value","employment_summary_organization_name","employment_summary_organization_address_city","employment_summary_organization_address_region","employment_summary_organization_address_country","employment_summary_organization_disambiguated_organization_disambiguated_organization_identifier","employment_summary_organization_disambiguated_organization_disambiguation_source","employment_summary_start_date","employment_summary_source_source_orcid","employment_summary_source_source_client_id_uri","employment_summary_source_source_client_id_path","employment_summary_source_source_client_id_host","employment_summary_end_date_year_value","employment_summary_end_date_month_value","employment_summary_end_date_day_value","employment_summary_start_date_day","employment_summary_end_date_day","employment_summary_organization_disambiguated_organization","employment_summary_url_value","employment_summary_start_date_month","employment_summary_end_date_month","ORCID"
7305872,"psychology","Professor",NA,NA,NA,"1","public","/0000-0002-5211-5278/employment/7305872",2019-02-13,2019-02-13,NA,NA,NA,NA,"https://orcid.org/0000-0002-5211-5278","0000-0002-5211-5278","orcid.org","Edward Awh","2015","07","01","University of Chicago","Chicago","IL","US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://awhvogellab.com/",NA,NA,"0000-0002-5211-5278"
11519236,NA,NA,NA,NA,NA,"0","public","/0000-0003-1655-2013/employment/11519236",2020-05-27,2020-05-27,NA,NA,NA,NA,NA,NA,NA,"University of Bristol - PURE",NA,NA,NA,"University of Bristol","Bristol",NA,"GB","1980","RINGGOLD",NA,NA,"https://orcid.org/client/APP-4HQZN5O76K3LZ0U4","APP-4HQZN5O76K3LZ0U4","orcid.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-1655-2013"
7740162,NA,NA,NA,NA,NA,"0","public","/0000-0003-1655-2013/employment/7740162",2019-04-20,2019-10-15,NA,NA,NA,NA,NA,NA,NA,"University of Western Australia",NA,NA,NA,"The University of Western Australia","Perth",NA,"AU","2720","RINGGOLD",NA,NA,"https://orcid.org/client/APP-IW5Q469BTAGREJ7K","APP-IW5Q469BTAGREJ7K","orcid.org",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0003-1655-2013"
6511374,"School of Psychological Science","Professor",NA,NA,NA,"1","public","/0000-0003-1655-2013/employment/6511374",2018-09-30,2018-09-30,NA,NA,NA,NA,"https://orcid.org/0000-0003-1655-2013","0000-0003-1655-2013","orcid.org","Stephan Lewandowsky","2013","04","01","University of Bristol","Bristol","Bristol","GB","1980","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://www.cogsciwa.com",NA,NA,"0000-0003-1655-2013"
13680953,NA,NA,NA,NA,NA,"1","public","/0000-0001-5872-8924/employment/13680953",2021-01-08,2021-01-08,NA,NA,NA,NA,"https://orcid.org/0000-0001-5872-8924","0000-0001-5872-8924","orcid.org","Guiomar Niso","2021","01","01","Indiana University","Bloomington","Indiana","US","grid.257410.5","GRID",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-5872-8924"
9054323,NA,"AXA Postdoctoral fellow",NA,NA,NA,"1","public","/0000-0001-5872-8924/employment/9054323",2019-11-05,2021-01-08,NA,NA,NA,NA,"https://orcid.org/0000-0001-5872-8924","0000-0001-5872-8924","orcid.org","Guiomar Niso","2017",NA,NA,"Universidad Politécnica de Madrid (UPM)","Madrid","Madrid","ES",NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-5872-8924"
9054310,"Montreal Neurological Institute","Postdoctoral fellow",NA,NA,NA,"1","public","/0000-0001-5872-8924/employment/9054310",2019-11-05,2019-11-05,NA,NA,NA,NA,"https://orcid.org/0000-0001-5872-8924","0000-0001-5872-8924","orcid.org","Guiomar Niso","2013",NA,NA,"McGill University","Montreal","QC","CA",NA,NA,NA,NA,NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-5872-8924"
13674050,"Donders Centre for Cognitive Neuroimaging","Postdoc",NA,NA,NA,"1","public","/0000-0002-0475-6927/employment/13674050",2021-01-08,2021-01-08,NA,NA,NA,NA,"https://orcid.org/0000-0002-0475-6927","0000-0002-0475-6927","orcid.org","Christoph Huber-Huber","2020",NA,NA,"Radboud Universiteit Donders Institute for Brain Cognition and Behaviour","Nijmegen","Gelderland","NL","198328","RINGGOLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-0475-6927"
6417540,"CIMeC - Center for Mind/Brain Sciences","Postdoc",NA,NA,NA,"1","public","/0000-0002-0475-6927/employment/6417540",2018-09-12,2021-01-08,NA,NA,NA,NA,"https://orcid.org/0000-0002-0475-6927","0000-0002-0475-6927","orcid.org","Christoph Huber-Huber","2017",NA,NA,"University of Trento","Rovereto","TN","IT",NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-0475-6927"
6417528,"Department of Basic Psychological Research and Research Methods","PhD",NA,NA,NA,"1","public","/0000-0002-0475-6927/employment/6417528",2018-09-12,2018-09-12,NA,NA,NA,NA,"https://orcid.org/0000-0002-0475-6927","0000-0002-0475-6927","orcid.org","Christoph Huber-Huber","2012",NA,NA,"University of Vienna","Vienna",NA,"AT",NA,NA,NA,NA,NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0002-0475-6927"
